code,ir_bo,ir_rd,p_value,params
000155.XSHE,-0.5495882549677065,0.1403503742808392,0.846,"{'A1': 2.770157843063934, 'A2': 35.58780634133013, 'A3': 91.10046543387429, 'y1': 0.12204640489804763, 'y2': -0.0949307368693454}"
000099.XSHE,-1.9483367418063733,0.180460175342027,1.0,"{'A1': 30.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.005, 'y2': -0.2}"
000151.XSHE,-0.8283017466725672,0.6991730603638724,0.991,"{'A1': 7.2742126786708985, 'A2': 40.99981509486247, 'A3': 88.86620024923387, 'y1': 0.3, 'y2': -0.2}"
000096.XSHE,-1.0949622870119098,0.1855736395304802,0.967,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
000158.XSHE,-0.47039163115577715,0.12498706278684674,0.733,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
000090.XSHE,-0.46908132099912125,0.47848131153019685,0.929,"{'A1': 11.537943283301594, 'A2': 45.968973287379384, 'A3': 62.762752072378014, 'y1': 0.04442354689011906, 'y2': -0.18795307334949626}"
600720.XSHG,-0.13997412794830744,0.0,1.0,"{'A1': 30.0, 'A2': 60.0, 'A3': 102.16617047797894, 'y1': 0.005, 'y2': -0.005}"
600723.XSHG,-0.6520840891660369,0.330438031908742,0.916,"{'A1': 7.458412331542849, 'A2': 30.690265991385633, 'A3': 88.91836080940791, 'y1': 0.005, 'y2': -0.2}"
000972.XSHE,1.7989987265604215,0.14397609984707874,0.0,"{'A1': 16.041376602309356, 'A2': 30.0, 'A3': 88.69110661751118, 'y1': 0.005, 'y2': -0.2}"
600725.XSHG,2.1814363820416527,0.17767866452186126,0.0,"{'A1': 30.0, 'A2': 30.0, 'A3': 60.0, 'y1': 0.3, 'y2': -0.2}"
600724.XSHG,-1.2358286467167654,0.0,1.0,"{'A1': 20.58512728708317, 'A2': 55.28204800910316, 'A3': 125.96296380216653, 'y1': 0.3, 'y2': -0.005}"
600727.XSHG,0.0,0.0,0.0,"{'A1': 28.83074385690081, 'A2': 30.6599722858458, 'A3': 79.58649997769552, 'y1': 0.07368109450472908, 'y2': -0.1528451544956122}"
