,ir_test,ir_crl_mean,ir_crl_std,p_value
0,-0.6528614277211005,-0.6702274897720392,0.5308782592719534,0.5
1,-0.8842872693878177,-0.4993910036423132,0.567640851978893,0.74
2,1.9657611298487974,-1.0239477867654712,0.6451161619262444,0.0
3,-1.509803739408306,-0.2358981871718427,0.6095958494833447,0.99
4,-0.6014375948392918,-0.3929804850680111,0.5665082908295734,0.65
5,-0.5788177481511921,-0.6538631435664299,0.5357201529520882,0.4
6,-0.02417415899915263,-0.4418682957882249,0.5701001194559409,0.26
8,1.39769685092619,-0.7702075641094249,0.5971318599999095,0.0
10,-2.3111819800558706,-1.433184706699176,0.571414276008152,0.96
11,-1.4999999994474782,-0.07263172618805418,0.6659538042641268,0.97
12,1.1950924980388415,-1.1592078521179596,0.5632408612217114,0.0
14,1.2112697065157891,-0.44303889918680894,0.6187136381721173,0.0
17,1.522506486834089,0.13768888332160928,0.65013798750423,0.01
18,-1.7937182547011763,-0.36305514231499314,0.5809849031673519,0.98
19,-0.5611992507719196,-0.5386781943990082,0.6398804611132444,0.53
20,-1.821366385619265,-0.9447603029067192,0.6382211028234184,0.88
23,0.6602990847317456,-0.8528299448715001,0.6164313417841698,0.01
24,-1.683851596213417,-0.4270980009643512,0.6376064838936177,0.99
25,2.3934979505646035,-0.04213612602055596,0.5708118879933024,0.0
26,0.28419171871259397,-1.121228042780353,0.552141031858474,0.0
27,-0.8751407908082766,-1.414027157822616,0.5888737267767241,0.14
28,-1.2879473852353505,-0.45027175575395584,0.6107014199000989,0.88
31,0.11790608154308053,-0.4305752325648961,0.6647939489785368,0.21
34,0.3905029462068615,-0.6303286079480076,0.5491039225649678,0.03
35,0.23135362293716732,-0.6893896259364218,0.628184700997501,0.06
37,-0.13044318308968741,-0.4824705496194345,0.556332270591827,0.28
39,0.6465723180033165,-0.7709127943298648,0.6231460848994553,0.01
40,1.4768525874549574,-0.8961248698405696,0.5610986966238684,0.0
41,-0.7895192939265285,-0.158138273620298,0.6757567873293435,0.84
42,2.107486781198184,-0.9387022902507447,0.5442121504983295,0.0
43,0.21168748828426737,-0.39229923821703955,0.6066039974507248,0.17
44,-0.7382028524062267,-0.7890085513987799,0.6439039328114037,0.49
46,-1.5795569017646431,0.05940019697121529,0.5568283692620137,0.99
47,-1.0597678842951412,-0.6961435080003312,0.7117779219307839,0.67
48,-0.2380211768152511,-0.5786613960013769,0.5470659984071156,0.27
49,0.13223412904254317,-0.5133057898273019,0.6067083184898698,0.17
50,-0.8878250324616775,-1.3617666508047412,0.5717869263957955,0.21
52,1.7027065491106275,0.006441342439372594,0.5370270151539579,0.0
53,-1.3731805497326568,-0.2914842596178495,0.6034377112670637,0.98
54,-0.2620709829025288,-0.6986083290236164,0.6821321750436142,0.25
55,1.1228292387626375,-0.49675158061458896,0.6100914585024625,0.01
57,1.6478792790462795,0.6475405919205812,0.6387636884055471,0.04
59,1.826843008483378,-0.3428197488365297,0.5978213241542838,0.0
60,-1.445323263085342,-0.3798499440308551,0.6605026939058164,0.94
61,-1.7195425038360095,-0.8518337086297367,0.590617538138713,0.93
62,-0.5506319392174269,-0.47905121259393285,0.5597867857196397,0.54
63,-0.10509492332035239,-0.23462699329371917,0.5672825195209616,0.39
64,-1.4516058713270763,-0.3700230041439451,0.5962067377168709,0.96
65,0.5537367803998176,0.5193127455320755,0.6335033040463467,0.52
66,0.6070303588796601,0.24670109784576755,0.5929980503922266,0.31
67,-0.7580199655737815,-1.0739033745305253,0.6149595128167036,0.3
68,0.9134669757059387,0.7291473877490793,0.6361244878887304,0.39
71,-1.1524734614837575,-0.8183066084165648,0.641765384152885,0.7
72,-0.6199543042994577,-0.6613789298608616,0.5451601178756252,0.47
73,0.47137016770904766,-0.7694574341648014,0.6463759021041474,0.02
74,-0.3366791665069913,-0.6485273570955943,0.5582657564017217,0.33
75,1.2618996145952102,-0.2422984431921067,0.6027941391767063,0.01
77,-1.6704443335565458,-0.5425493771805254,0.6796213201789348,0.97
78,-0.7552768927967773,-0.6290884448362214,0.5349321983425464,0.56
80,1.2254660770156731,-0.411720326897664,0.6580464729004821,0.01
81,-1.6009788467448813,-0.05166850983911957,0.6857898807166979,1.0
83,-0.10911918158899392,-0.7373684860461078,0.6539452501149579,0.17
85,-0.7605021091498257,-0.5589307281539064,0.6485514929283474,0.61
86,-1.0232412122134091,-0.756980794822017,0.5625569842472514,0.72
88,1.0707767576027643,-1.046273474792714,0.6017425846625801,0.0
89,-1.7201836102361674,-0.31868969699428024,0.5403061630685164,1.0
90,-0.036123615443395374,-1.2053647200381294,0.6027399324249748,0.04
92,1.9046977820445905,-1.1498069108834474,0.6712656908649646,0.0
94,-0.7093268979196518,-0.45412768279278554,0.5751210956794298,0.69
95,1.9953108375113966,-0.7951635813505056,0.5761431104850072,0.0
97,0.3229953104094957,0.14649476208012652,0.6256201613694029,0.38
98,-0.3384510252838047,-0.9287061680685375,0.5897604089291943,0.13
99,0.9536064626305853,-1.132842688111304,0.6138128198068888,0.0
101,0.6745826680522169,-0.5285960984342055,0.5827578033092876,0.02
102,1.5946095356467018,-0.9290602917474331,0.6491058868640726,0.0
106,0.7724440928535563,-0.7457359907755228,0.5783008889637529,0.0
107,0.23633076719432342,-0.6797435843143933,0.5354287092395871,0.05
108,-0.2796658028679951,-1.177201844456195,0.6033377619862563,0.06
109,1.8853669962876374,-0.36538585548927904,0.5839197178218721,0.0
111,-1.0219815441795046,0.09483873546527657,0.6281741752580048,0.96
112,-0.10167100793222361,-0.9732093238545996,0.6389696754784248,0.07
113,1.7249506574370475,-0.21670142863164366,0.6116880741622547,0.0
115,0.07355368359523815,-0.3928204964435399,0.6528954721638663,0.27
116,0.9959570846844441,-0.8125932959844151,0.6074670829560656,0.0
117,-1.8352186163775916,-0.06301923698104847,0.6189763543657839,0.99
118,0.7824141538115714,-0.9341670887682733,0.5484711328204798,0.0
122,1.5195980695318816,-0.10333291573109527,0.72012052871506,0.0
123,1.8266306169658997,-0.9291518854107487,0.5707633360843622,0.0
124,0.3966688135778461,-0.43992545213761103,0.6519654524054191,0.1
125,-1.353036345625231,0.33764282321524214,0.5893509924693825,1.0
